                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.2277,                0.81153,                 1.1839,                0.69249,                0.66245,                0.65033,                0.33388,                 2.0001,                  1.248,                 1.6741,             0.00040298,             0.00040298,             0.00040298
                    135,                 1.2286,                 0.8079,                 1.1667,                0.74032,                0.58999,                0.62547,                0.32321,                  2.044,                 1.2377,                 1.7144,             0.00040063,             0.00040063,             0.00040063
                    136,                 1.2311,                0.82118,                 1.1817,                0.59005,                0.65533,                0.61887,                0.31358,                 2.0551,                 1.2279,                 1.7349,             0.00039827,             0.00039827,             0.00039827
                    137,                 1.2151,                0.78921,                 1.1655,                0.72922,                0.61124,                0.63641,                0.31445,                 2.0386,                 1.2172,                  1.729,             0.00039591,             0.00039591,             0.00039591
                    138,                 1.2222,                0.78093,                  1.168,                0.56524,                0.62583,                0.61566,                0.31004,                 2.0339,                 1.2596,                 1.7103,             0.00039356,             0.00039356,             0.00039356
                    139,                 1.1883,                0.78382,                 1.1608,                0.72623,                0.64953,                0.65271,                0.32428,                 2.0669,                 1.2214,                 1.7621,              0.0003912,              0.0003912,              0.0003912
                    140,                   1.19,                0.78526,                 1.1664,                 0.6698,                0.60767,                0.63724,                0.33012,                 2.0308,                 1.2061,                 1.7008,             0.00038884,             0.00038884,             0.00038884
                    141,                 1.1976,                 0.7549,                 1.1416,                0.64508,                0.65395,                0.65656,                0.32529,                   2.05,                 1.2425,                 1.7259,             0.00038649,             0.00038649,             0.00038649
                    142,                 1.1748,                0.75955,                  1.152,                 0.6723,                0.65129,                0.62258,                 0.3123,                 2.0483,                 1.2286,                 1.7394,             0.00038413,             0.00038413,             0.00038413
                    143,                 1.2019,                0.76275,                 1.1636,                0.61256,                0.64845,                0.63167,                0.32121,                 2.0627,                  1.249,                 1.7614,             0.00038178,             0.00038178,             0.00038178
                    144,                 1.1641,                0.76428,                 1.1502,                0.64265,                0.62525,                0.62235,                0.31632,                 2.0718,                 1.2665,                 1.7316,             0.00037942,             0.00037942,             0.00037942
                    145,                 1.1635,                 0.7549,                 1.1428,                0.70285,                0.62301,                0.63909,                0.32063,                 2.0574,                 1.2446,                 1.7483,             0.00037706,             0.00037706,             0.00037706
                    146,                 1.1649,                0.76068,                 1.1383,                0.62583,                0.67588,                0.63759,                0.30388,                 2.1042,                 1.2584,                 1.7993,             0.00037471,             0.00037471,             0.00037471
                    147,                 1.1825,                0.76254,                  1.156,                0.63064,                0.65544,                0.64593,                    0.3,                 2.0655,                 1.2418,                 1.7451,             0.00037235,             0.00037235,             0.00037235
                    148,                 1.1828,                0.75608,                 1.1447,                0.67571,                 0.6277,                0.64814,                0.29728,                 2.1205,                 1.2678,                  1.786,             0.00036999,             0.00036999,             0.00036999
                    149,                 1.1726,                0.73576,                 1.1359,                 0.6317,                0.66583,                0.66193,                0.32869,                 2.0601,                 1.2116,                 1.7651,             0.00036764,             0.00036764,             0.00036764
                    150,                 1.1758,                0.76579,                 1.1402,                0.66828,                0.65714,                0.64598,                0.31319,                 2.0561,                 1.2543,                  1.773,             0.00036528,             0.00036528,             0.00036528
